feature,mu_gain,pi_gain,total_gain
X348,9.770325851440429,17.865060138702393,27.635385990142822
X958,25.92097587585449,1.267804002761841,27.188779878616334
X365,18.019600105285644,8.598062014579773,26.617662119865415
X938,17.939703941345215,8.19969801902771,26.139401960372926
X987,23.900324058532714,0.7360740184783936,24.63639807701111
X962,18.03723564147949,5.607845973968506,23.645081615447996
X993,8.52701997756958,14.54938600063324,23.07640597820282
X985,14.496481800079346,8.475537776947021,22.972019577026366
X332,15.71186809539795,6.950343811511994,22.662211906909945
X941,5.425401973724365,16.892810010910033,22.3182119846344
X335,12.76503791809082,8.28918194770813,21.05421986579895
X430,13.709051895141602,7.166448044776916,20.87549993991852
X498,15.639890003204346,4.763320064544677,20.403210067749022
X956,6.181704044342041,13.836127853393554,20.017831897735597
X917,8.996483993530273,10.943645930290222,19.940129923820493
X963,18.136789894104005,1.6209219455718995,19.757711839675906
X965,13.722143936157227,4.188155961036682,17.91029989719391
X940,7.1302179336547855,10.125026035308839,17.255243968963626
X425,5.543459892272949,11.6549320936203,17.19839198589325
X379,9.385574054718017,7.49188597202301,16.877460026741026
X981,9.071060180664062,7.553442096710205,16.62450227737427
X435,8.857372093200684,7.693619668483734,16.55099176168442
X548,12.443480205535888,3.9485080003738404,16.39198820590973
X949,11.186635971069336,4.642293953895569,15.828929924964905
X980,6.538100051879883,9.271924042701722,15.810024094581603
X944,9.031380081176758,6.7477339744567875,15.779114055633546
X937,8.15820026397705,7.398853969573975,15.557054233551025
X968,3.9540618896484374,11.154082036018371,15.108143925666809
X960,11.178796005249023,3.865790033340454,15.044586038589477
X989,10.712643814086913,4.311709976196289,15.024353790283202
X912,6.198804092407227,8.264486122131348,14.463290214538574
X936,2.3948180198669435,12.024681997299194,14.419500017166136
X990,4.394519996643067,9.868834161758423,14.26335415840149
X920,8.281040000915528,5.64200005531311,13.923040056228638
X432,2.2429339408874513,11.342074084281922,13.585008025169373
X111,7.749831962585449,5.743011999130249,13.492843961715698
X959,8.52227611541748,4.910625982284546,13.432902097702026
X943,7.27104377746582,5.624683952331543,12.895727729797363
X434,6.403459930419922,6.078727066516876,12.482186996936798
X580_missing,11.599920082092286,0.7498139858245849,12.34973406791687
X387,5.3782319068908695,6.857011985778809,12.23524389266968
X918,5.847547817230224,5.9284419298171995,11.775989747047424
X924,8.77032413482666,2.828988587856293,11.599312722682953
X926,4.20105209350586,7.379763984680176,11.580816078186036
X923,11.550319862365722,0.0,11.550319862365722
X972,7.870079803466797,3.5642779588699343,11.434357762336731
X916,2.7056400299072267,8.558624677360058,11.264264707267284
X978,1.1368359565734862,9.623286056518555,10.760122013092042
X473,9.566500091552735,1.1137080192565918,10.680208110809327
