feature,mu_gain,pi_gain,total_gain
X811,28.933349800109863,142.9227276802063,171.85607748031615
X733,118.61000232696533,52.3723468542099,170.98234918117524
X146,41.6773561000824,129.2048840343952,170.8822401344776
X42,82.33834404945374,88.39222108721734,170.7305651366711
X890,135.7752956867218,34.80109823942185,170.57639392614362
X829,78.65829068422318,91.85216616988183,170.510456854105
X484,79.62763614654541,89.5234658241272,169.1511019706726
X898,47.2464201927185,121.61458066701888,168.86100085973737
X59,110.38837571144104,57.54550347924233,167.93387919068337
X155,118.20206408500671,49.36682004928589,167.5688841342926
X269,93.30048656463623,74.1689177274704,167.46940429210662
X793,22.485685920715333,144.60427614450455,167.08996206521988
X214,78.7833019733429,87.52992327809334,166.31322525143622
X670,78.13190002441407,88.15887110233307,166.29077112674713
X28,52.64073634147644,113.09155038297176,165.73228672444822
X606,93.29809074401855,72.12400102615356,165.42209177017213
X207,72.5859640598297,92.41848487854004,165.00444893836976
X842,65.6758987903595,95.56673595905303,161.24263474941253
X5,42.77387623786926,118.19412876665592,160.9680050045252
X18,88.57512636184693,72.22749403491616,160.80262039676307
X55,99.58243389129639,59.625887954235075,159.20832184553146
X894,106.0503282546997,52.59580776691437,158.64613602161407
X877,95.27619833946228,63.21442177146673,158.490620110929
X807,55.49706592559814,102.34052455425262,157.83759047985077
X60,66.66517963409424,90.63661257829517,157.30179221238942
X16,54.387860250473025,102.27584971487522,156.66370996534823
X892,103.23635017871857,52.81449596881866,156.05084614753724
X184,71.30580410957336,84.39331803023815,155.6991221398115
X849,107.25933837890625,48.178906166553496,155.43824454545975
X821,66.15774807929992,88.30356671810151,154.46131479740143
X267,68.20502164363862,83.96167018413544,152.16669182777406
X48,117.15119438171386,34.51107763648033,151.6622720181942
X405,16.430820083618165,134.25906199216843,150.68988207578658
X750,48.22237157821655,101.74847607165574,149.9708476498723
X54,54.39971945285797,95.49290683269501,149.89262628555298
X887,94.13311223983764,55.47307698726654,149.60618922710418
X905,47.00176162719727,102.53121817111969,149.53297979831694
X177,53.93615436553955,95.55710499286651,149.49325935840608
X66,48.53653178215027,99.6894260764122,148.22595785856248
X64,71.60811796188355,76.30328825116158,147.91140621304513
X203,90.22944386005402,57.583556580543515,147.81300044059753
X398,73.46563005447388,74.17488360404968,147.64051365852356
X145,75.92150597572326,71.38183994889259,147.30334592461585
X974,81.54137558937073,64.94567410945892,146.48704969882965
X173,77.5926899433136,68.4510541677475,146.0437441110611
X850,54.846833896636966,91.12104424573481,145.96787814237177
X174,55.00573678612709,90.66489753127098,145.67063431739808
X197,75.12786793708801,70.2314265370369,145.3592944741249
X810,107.10436227321625,37.08048113584518,144.18484340906144
X481,44.069844245910645,99.44938590526581,143.51923015117646
X669,58.98744390010834,84.44603943871334,143.43348333882167
X886,77.42397003173828,65.84243595600128,143.26640598773957
X58,72.66288990974427,70.56728045344353,143.2301703631878
X126,50.40684950351715,91.46208362057806,141.8689331240952
X41,65.82329812049866,74.89567101597785,140.71896913647652
X271,72.79470415115357,67.59703871905803,140.3917428702116
X857,40.5409640789032,98.92073202133179,139.46169610023497
X852,73.6776303768158,65.69658761955797,139.37421799637377
X200,78.63515431880951,59.61254289150238,138.24769721031188
