feature,psi
X260,0.000968135393448867
X851,0.0009649116232120775
X914,0.0009614326559026173
X643,0.0009585076048520021
X978,0.0009557405077479958
X1081,0.0009346881498289299
X116,0.0009320878887093641
X24,0.0009319095515976624
X966,0.0009264570580195886
X429,0.0009255865693312186
X58,0.0009253836334059494
X935,0.0009249471525861624
X644,0.0009215760195930966
X285,0.0009204414778607625
X34,0.0009203905461509525
X481,0.0009202491056871624
X60,0.0009127676028824984
X207,0.0009080821628505132
X938,0.0009064854710640035
X6,0.0009018001193480424
X46,0.0009001556423374303
X53,0.0008969609234025925
X581,0.0008948803965820944
X150,0.0008930378220123784
X580,0.0008891889342082355
X274,0.0008862834287756464
X1004,0.0008860867757077708
X190,0.000881955548737929
X980,0.0008734145925997126
X860,0.000873099891990824
X790,0.0008709656302468408
X780,0.0008653968616034811
X841,0.0008629554713215806
X38,0.0008603463402567629
X831,0.0008418991361752695
X583,0.0008351277281228804
X888,0.0008317948831178288
X302,0.0008311637853369408
X651,0.0008279120526960477
X340,0.0008240114903911182
X391,0.0008190282814368806
X732,0.0008167688882427011
X113,0.0008113455436913094
X766,0.0007991582339725528
X984,0.000796050567485351
X890,0.0007935312943827528
X661,0.000789184646282104
X435,0.0007881142097693505
X388,0.0007852389967462317
X894,0.0007850663407063636
X35,0.0007831731076320959
X842,0.0007821748165738364
X348,0.000781892064783365
X104,0.0007798232097682849
X130,0.0007789149084218172
X843,0.0007786406344378404
X1000,0.000773491020177805
X956,0.000763311668884364
X269,0.000760014283204122
X746,0.0007533096885247011
X1058,0.000748831252265883
X335,0.0007443048299984765
X989,0.0007377686486792426
X721,0.0007364235799560621
X962,0.0007259696203555811
X893,0.0007251646660861924
X669,0.0007223077207993255
X892,0.0007219446597366648
X574,0.000721639473905829
X267,0.0007180647236984511
X264,0.0007148894798783354
X641,0.0007138703898892793
X418,0.000710831435205912
X122,0.0007085438821975687
X927,0.0007070899557561737
X877,0.0007069353163514886
X337,0.0007037384608784482
X332,0.0007004171455966577
X166,0.0007001507409066817
X146,0.0006806751603870038
X376,0.0006786176439153805
X582,0.0006769178664429744
X915,0.0006683492426572663
X294,0.0006663074242310156
X943,0.0006633587517312812
X997,0.0006603252595482646
X123,0.0006460641238307008
X126,0.0006453482743795139
X213,0.0006413746284154039
X398,0.0006359352877713758
X975,0.0006323384956327075
X645,0.000624066214537927
X173,0.0006208730260210849
X817,0.0006203699388696396
X45,0.0006150979738796806
X713,0.0006146782085742538
X1068,0.0006102957607895948
X305,0.0006074493585719767
X1018,0.0006044976799800016
X720,0.0006044752732280274
X988,0.0005992494888014973
X758,0.0005960537028941302
X394,0.0005924244731918336
X548,0.0005868880038839505
X760,0.0005829527266564842
X965,0.0005827003926942185
X184,0.0005802763122995778
X495,0.0005656682081028134
X390,0.0005578250052240616
X823,0.0005574517260000997
X1006,0.0005561065459965829
X958,0.0005551975869236365
X936,0.0005432015036323114
X71,0.0005396099402361929
X737,0.0005335870938495676
X161,0.0005310191253125025
X379,0.0005274272402956614
